OBJECTID;Id da Instalação;Nome;Id Agente Principal;Agente Principal;Data Prevista;Data Prevista;Data Entrada;Data Entrada,x,y
117;BAPOT ;SUB POCOES III                                     BA       ;IBT;EDTE - EMPRESA DIAMANTINA DE TRANSMISSÃO DE ENERGIA S.A.       ;26/12/2019;27/12/2019;21/12/2019;22/12/2019,-40.398938902,-14.518956504999949
118;BAPRJ ;SUB PIRAJA                                         BA       ;MEZ;MEZ 1 ENERGIA S.A.                                             ;27/08/2024;28/08/2024;18/01/2025;19/01/2025,-38.45592199999999,-12.92214400399996
119;BAPTU ;SUB PITUACU                                        BA       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;;;01/06/2000;02/06/2000,-38.420000001999995,-12.939166702999955
120;BARDE ;SUB RIO DAS EGUAS                                  BA       ;TAE;TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S A                   ;30/03/2003;31/03/2003;03/03/2003;04/03/2003,-46.17750000199999,-13.85083330499998
121;BARFM ;SUB RIO FORMOSO II                                 BA       ;KT6;NEOENERGIA RIO FORMOSO TRANSMISSAO E ENERGIA S.A.              ;14/09/2022;15/09/2022;28/01/2023;29/01/2023,-45.660417005,-14.536722005000001
122;BARGD ;SUB RIO GRANDE II                                  BA       ;PDT;SAO PEDRO TRANSMISSORA DE ENERGIA S/A                          ;11/03/2017;12/03/2017;27/05/2017;28/05/2017,-45.48945800199999,-12.845135003999985
123;BASAZ ;SUB SERRA AZUL                                     BA       ;ASC;Enel Green Power Damascena Eólica SA                           ;29/09/2016;30/09/2016;13/11/2015;14/11/2015,-41.45839400599999,-11.866389006999952
124;BASDB ;SUB SERRA DA BABILONIA                             BA       ;SDB;EÓLICA SERRA DA BABILÔNIA II S.A.                              ;29/09/2018;30/09/2018;11/12/2018;12/12/2018,-41.32873330299998,-11.10466110699997
125;BASNB ;SUB SENHOR DO BONFIM II                            BA       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;;;01/06/2000;02/06/2000,-40.186944402999984,-10.45444440099999
126;BASPD ;SUB SAO PEDRO                                      BA       ;PDO;Central Fotovoltaica São Pedro II Ltda                         ;30/07/2018;31/07/2018;07/11/2018;08/11/2018,-43.272800005999954,-13.31640000699997
127;BASPU ;SUB SAPEACU                                        BA       ;TAE;TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S A                   ;29/04/2003;30/04/2003;03/03/2003;04/03/2003,-39.18333329999996,-12.719444401999965
128;BASTJ ;SUB SANTO ANTONIO DE JESUS                         BA       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;;;01/06/2000;02/06/2000,-39.26638890099997,-12.949722200999986
129;BATBD ;SUB TAMBORIL II                                    BA       ;ACC;CENTRAIS EOLICAS ACACIA S.A.                                   ;29/09/2017;30/09/2017;17/05/2022;18/05/2022,-42.69290870399999,-13.88874199999998
130;BATBR ;SUB TAMBORIL I                                     BA       ;RRV;Centrais Eólicas Amescla S.A.                                  ;30/06/2016;01/07/2016;21/10/2022;22/10/2022,-42.69306040599997,-13.88875859999996
131;BATBV ;SUB TABOCAS DO BREJO VELHO                         BA       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;30/03/2017;31/03/2017;03/06/2017;04/06/2017,-44.06151020499999,-12.810368001999962
132;BATMB ;SUB TOMBA                                          BA       ;AFT;AFLUENTE TRANSMISSÃO DE ENERGIA ELÉTRICA S.A.                  ;;;05/02/2000;06/02/2000,-38.967222205999974,-12.28736100399999
133;BATXF ;SUB TEIXEIRA DE FREITAS II                         BA       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;29/04/2019;30/04/2019;31/03/2019;01/04/2019,-39.73049830599996,-17.570299103999957
134;BAUBN ;SUB UMBURANAS                                      BA       ;UB1;EÓLICA UMBURANAS 1 S.A.                                        ;29/11/2018;30/11/2018;03/01/2019;04/01/2019,-41.568600006,-10.670800000999975
135;BAUITP;SUB ITAPEBI SE                                     BA       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;31/12/2002;01/01/2003;30/01/2003;31/01/2003,-39.584745618,-15.969236025999976
136;BAUMB ;SUB UMBUZEIRO                                      BA       ;BZZ;Centrais Eólicas Umbuzeiro S.A.                                ;30/06/2016;01/07/2016;;,-42.672094001999994,-14.008950002999995
137;BAVB2 ;SUB VENTOS DA BAHIA II                             BA       ;VB1;Parque Eólico Ventos da Bahia I                                ;29/04/2018;30/04/2018;06/09/2018;07/09/2018,-41.490600004999976,-11.981400006000001
138;BAVCC ;SUB VERACEL                                        BA       ;VEL;Veracel Celulose                                               ;29/09/2006;30/09/2006;08/01/2004;09/01/2004,-39.40611100199999,-16.08333300099997
139;BAZBU ;SUB ZEBU                                           AL       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;15/08/2012;16/08/2012;01/06/2000;02/06/2000,-38.20277800399998,-9.355833001999997
140;CEACT ;SUB ARACATI III                                    CE       ;;;30/12/2022;31/12/2022;;,-37.81869700599998,-4.470939002999955
141;CEAQR ;SUB AQUIRAZ II                                     CE       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;29/12/2013;30/12/2013;10/12/2013;11/12/2013,-38.38848899999999,-3.9190809059999765
142;CEARC2;SUB ARACATI II                                     CE       ;ERE;CPFL ENERGIAS RENOVAVEIS S.A.                                  ;29/12/2009;30/12/2009;25/01/2010;26/01/2010,-37.763092003999986,-4.4880190049999555
143;CEAUD ;SUB ACARAU II                                      CE       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;29/04/2010;30/04/2010;25/05/2010;26/05/2010,-40.116361006999966,-2.9297780019999777
144;CEAUT ;SUB ACARAU III                                     CE       ;899;ARGO TRANSMISSÃO DE ENERGIA S.A.                               ;26/06/2019;27/06/2019;06/09/2019;07/09/2019,-40.11163300299995,-2.9280470009999817
145;CEBNB ;SUB BANABUIU                                       CE       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;;;01/06/2000;02/06/2000,-38.91277780399997,-5.305250003999959
146;CECAL ;SUB CALCARIO                                       CE       ;API;APODI I ENERGIA SPE S/A                                        ;29/06/2018;30/06/2018;27/11/2018;28/11/2018,-37.78500000399998,-5.03470000599998
147;CECBS ;SUB CACIMBAS                                       CE       ;BVC;GERADORA EOLICA BONS VENTOS DA SERRA 2 S.A.                    ;29/12/2017;30/12/2017;09/05/2018;10/05/2018,-41.04278300699997,-3.9061110019999887
